lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence
28.483999999999998,77.25599999999994,38,38,454,454,1.0
28.483999999999998,77.27599999999994,44,44,631,631,1.0
28.483999999999998,77.29599999999994,44,44,631,631,1.0
28.483999999999998,77.31599999999993,35,41,1611,1375,0.890606
28.483999999999998,77.33599999999993,14,18,1685,1311,0.691238
28.483999999999998,77.35599999999992,14,18,1685,1311,0.691238
28.483999999999998,77.37599999999992,34,34,1358,1358,1.0
28.503999999999998,76.936,44,44,1138,1138,1.0
28.503999999999998,76.956,31,31,717,717,1.0
28.503999999999998,76.976,42,42,822,822,1.0
28.503999999999998,76.996,34,34,200,200,1.0
28.503999999999998,77.01599999999999,52,52,530,530,1.0
28.503999999999998,77.03599999999999,28,33,548,465,0.9958
28.503999999999998,77.05599999999998,18,27,2016,1344,0.99972
28.503999999999998,77.07599999999998,18,27,2016,1344,0.99972
28.503999999999998,77.09599999999998,42,42,152,152,1.0
28.503999999999998,77.11599999999997,57,57,1276,1276,1.0
28.503999999999998,77.13599999999997,30,37,1835,1488,1.0
28.503999999999998,77.15599999999996,30,37,1835,1488,1.0
28.503999999999998,77.17599999999996,24,30,1055,844,1.0
28.503999999999998,77.19599999999996,12,15,1160,928,0.902791
28.503999999999998,77.21599999999995,20,30,2033,1355,1.0
28.503999999999998,77.23599999999995,20,30,2033,1355,1.0
28.503999999999998,77.25599999999994,20,30,2033,1355,1.0
28.503999999999998,77.27599999999994,20,30,2033,1355,1.0
28.503999999999998,77.29599999999994,31,46,1108,746,1.0
28.503999999999998,77.31599999999993,38,38,1344,1344,1.0
28.503999999999998,77.33599999999993,16,16,386,386,1.0
28.503999999999998,77.35599999999992,37,37,1285,1285,1.0
28.503999999999998,77.37599999999992,37,37,1285,1285,1.0
28.523999999999997,76.936,31,31,717,717,1.0
28.523999999999997,76.956,30,30,740,740,1.0
28.523999999999997,76.976,44,44,1138,1138,1.0
28.523999999999997,76.996,44,44,1138,1138,1.0
28.523999999999997,77.01599999999999,27,33,651,533,0.977056
28.523999999999997,77.03599999999999,21,30,462,323,0.96163
28.523999999999997,77.05599999999998,25,34,615,452,0.975267
28.523999999999997,77.07599999999998,31,37,2085,1747,0.990088
28.523999999999997,77.09599999999998,30,36,2053,1710,0.98593
28.523999999999997,77.11599999999997,53,56,1419,1343,1.0
28.523999999999997,77.13599999999997,29,35,1147,950,0.972986
28.523999999999997,77.15599999999996,29,35,1147,950,0.972986
28.523999999999997,77.17599999999996,30,37,1835,1488,1.0
28.523999999999997,77.19599999999996,17,22,244,188,0.96
28.523999999999997,77.21599999999995,18,26,259,179,1.0
28.523999999999997,77.23599999999995,16,16,183,183,1.0
28.523999999999997,77.25599999999994,19,28,724,491,0.998161
28.523999999999997,77.27599999999994,22,35,895,562,0.985375
28.523999999999997,77.29599999999994,50,53,1480,1396,1.0
28.523999999999997,77.31599999999993,38,38,1344,1344,1.0
28.523999999999997,77.33599999999993,34,34,1358,1358,1.0
28.523999999999997,77.35599999999992,34,34,1358,1358,1.0
28.523999999999997,77.37599999999992,45,45,50,50,1.0
28.543999999999997,76.936,43,43,958,958,1.0
28.543999999999997,76.956,46,46,646,646,1.0
28.543999999999997,76.976,36,36,690,690,1.0
28.543999999999997,76.996,36,36,690,690,1.0
28.543999999999997,77.01599999999999,30,36,2053,1710,0.98593
28.543999999999997,77.03599999999999,64,64,224,224,1.0
28.543999999999997,77.05599999999998,49,49,429,429,1.0
28.543999999999997,77.07599999999998,50,50,473,473,1.0
28.543999999999997,77.09599999999998,50,50,473,473,1.0
28.543999999999997,77.11599999999997,21,32,760,498,0.994527
28.543999999999997,77.13599999999997,26,40,247,161,1.0
28.543999999999997,77.15599999999996,27,37,549,400,1.0
28.543999999999997,77.17599999999996,26,39,626,417,1.0
28.543999999999997,77.19599999999996,27,44,2081,1277,0.998237
28.543999999999997,77.21599999999995,32,43,2043,1520,0.990866
28.543999999999997,77.23599999999995,32,43,2043,1520,0.990866
28.543999999999997,77.25599999999994,27,44,2081,1277,0.998237
28.543999999999997,77.27599999999994,31,46,1108,746,1.0
28.543999999999997,77.29599999999994,42,42,1562,1562,1.0
28.543999999999997,77.31599999999993,42,42,1562,1562,1.0
28.543999999999997,77.33599999999993,37,37,1285,1285,1.0
28.543999999999997,77.35599999999992,42,42,383,383,1.0
28.543999999999997,77.37599999999992,30,40,1515,1136,1.0
28.563999999999997,76.936,41,41,1005,1005,1.0
28.563999999999997,76.956,33,33,268,268,1.0
28.563999999999997,76.976,42,42,327,327,1.0
28.563999999999997,76.996,31,37,2085,1747,0.990088
28.563999999999997,77.01599999999999,60,60,261,261,1.0
28.563999999999997,77.03599999999999,32,43,190,141,1.0
28.563999999999997,77.05599999999998,21,26,555,448,0.865803
28.563999999999997,77.07599999999998,50,50,473,473,1.0
28.563999999999997,77.09599999999998,29,36,1511,1217,1.0
28.563999999999997,77.11599999999997,20,30,681,454,0.98478
28.563999999999997,77.13599999999997,30,35,1094,937,0.991687
28.563999999999997,77.15599999999996,6,53,1585,179,0.98
28.563999999999997,77.17599999999996,18,28,460,296,1.0
28.563999999999997,77.19599999999996,19,24,207,164,1.0
28.563999999999997,77.21599999999995,20,27,76,56,1.0
28.563999999999997,77.23599999999995,24,24,75,75,1.0
28.563999999999997,77.25599999999994,30,35,263,225,1.0
28.563999999999997,77.27599999999994,17,24,1071,759,0.992613
28.563999999999997,77.29599999999994,17,24,1071,759,0.992613
